City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
210,Jaipur,IN,2019-11-06 06:09:29,26.92,75.82,82.4,37,40,5.82
211,Falmouth,GB,2019-11-06 06:11:26,50.16,-5.07,50.0,87,86,8.05
212,Jagalur,IN,2019-11-06 06:11:26,14.53,76.35,80.76,58,98,5.99
213,Mnogovershinnyy,RU,2019-11-06 06:11:26,53.94,139.92,23.63,92,98,7.05
214,Geraldton,CA,2019-11-06 06:11:26,49.72,-86.95,15.8,85,90,5.82
215,Fortuna,US,2019-11-06 06:11:27,40.6,-124.16,50.0,100,90,1.21
216,Saint Austell,GB,2019-11-06 06:11:27,50.34,-4.77,50.0,87,98,8.05
217,Guaiba,BR,2019-11-06 06:11:27,-30.11,-51.33,64.0,93,18,3.36
218,Biak,ID,2019-11-06 06:11:27,-0.91,122.88,82.33,69,50,17.27
219,Da Lat,VN,2019-11-06 06:11:27,11.95,108.44,71.64,68,87,0.16
220,Praia,BR,2019-11-06 06:11:28,-20.25,-43.81,73.4,78,85,1.05
221,Marzuq,YE,2019-11-06 06:11:28,14.4,46.47,74.34,33,0,4.56
222,Salamanca,MX,2019-11-06 06:11:28,20.57,-101.19,62.6,67,75,10.29
223,Maracai,BR,2019-11-06 06:11:28,-22.61,-50.67,72.36,84,80,16.28
224,Santa Maria,BR,2019-11-06 06:11:29,-16.02,-48.01,73.4,83,75,9.17
225,Saurimo,AO,2019-11-06 06:11:29,-9.66,20.4,68.7,90,54,4.23
226,Luderitz,NA,2019-11-06 06:11:29,-26.65,15.16,62.6,82,0,12.75
227,Ponta Delgada,PT,2019-11-06 06:11:29,37.73,-25.67,60.8,63,75,6.93
228,Yining,CN,2019-11-06 06:11:30,29.04,114.56,66.47,50,58,2.35
229,Hohhot,CN,2019-11-06 06:11:30,40.81,111.65,55.4,43,86,6.71
230,Lutz,US,2019-11-06 06:11:30,28.15,-82.46,78.8,100,1,6.69
231,Takab,IR,2019-11-06 06:11:30,36.4,47.11,49.96,32,84,1.28
232,Acapulco,MX,2019-11-06 06:11:31,16.86,-99.88,82.4,88,75,3.38
